n
"(:Unknown {ontology_id: UNKNOWN, name: Abstract, id: Abstract, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: universal, id: universal, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: adoption, id: adoption, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: mobile technologies, id: mobile technologies, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: households, id: households, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: families, id: families, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: young, id: young, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: children, id: children, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: oral, id: oral, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: information, id: information, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: times, id: times, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: locations, id: locations, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: community agencies, id: community agencies, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: Head Start, id: Head Start, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: public health programs, id: public health programs, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: parenting education, id: parenting education, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: low-income, id: low-income, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: study, id: study, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: coordinated, id: coordinated, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: intervention, id: intervention, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: smartphone app, id: smartphone app, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: BeReadyToSmile, id: BeReadyToSmile, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: implement, id: implement, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: caregivers, id: caregivers, type: Unknown})"
"(:Unknown {ontology_id: UNKNOWN, name: BeReadyToSmile program, id: BeReadyToSmile program, type: Unknown})"
